ID,FromNodeID ,ToNodeID,FromNodeName,ToNodeName,Time,Distance,LineN,Section,Direction,Capacity
64,329,616,SEYY,YSL,105,0.35,4,35,UP,240
65,616,812,YSL,SQL,102,0.34,4,36,UP,240
66,812,437,SQL,HSD,210,0.64,4,37,UP,240
67,437,442,HSD,XHZ,524,1.74,4,38,UP,240
68,424,413,CDXZ,WS,1165,3.8,4,30,DOWN,240
69,426,424,WHG,CDXZ,230,0.78,4,31,DOWN,240
70,232,426,ZYD,WHG,236,0.67,4,32,DOWN,240
71,125,232,LMS,ZYD,182,0.56,4,33,DOWN,320
72,329,125,SEYY,LMS,156,0.43,4,34,DOWN,320
73,616,329,YSL,SEYY,105,0.35,4,35,DOWN,320
74,812,616,SQL,YSL,102,0.34,4,36,DOWN,320
75,437,812,HSD,SQL,210,0.64,4,37,DOWN,320
76,442,437,XHZ,HSD,524,1.74,4,38,DOWN,320
77,520,536,HGL,BZXEL,1454,3.81,5,39,DOWN,320
78,536,613,BZXEL,XBQ,115,0.33,5,40,DOWN,320
79,613,232,XBQ,ZYDSYY,274,0.71,5,41,DOWN,320
80,232,335,ZYDSYY,GSQ,259,0.65,5,42,DOWN,320
81,335,816,GSQ,JXDD,195,0.52,5,43,DOWN,320
82,816,546,JXDD,SXS,120,0.35,5,44,DOWN,320
83,546,550,SXS,JCDD,392,0.92,5,45,DOWN,320
84,550,560,JCDD,HL,1107,3.32,5,46,DOWN,320
85,536,520,BZXEL,HGL,1454,3.81,5,39,UP,320
86,613,536,XBQ,BZXEL,115,0.33,5,40,UP,320
87,232,613,ZYDSYY,XBQ,274,0.71,5,41,UP,320
88,335,232,GSQ,ZYDSYY,259,0.65,5,42,UP,320
89,816,335,JXDD,GSQ,195,0.52,5,43,UP,320
90,546,816,SXS,JXDD,120,0.35,5,44,UP,320
91,550,546,JCDD,SXS,392,0.92,5,45,UP,320
92,560,550,HL,JCDD,1107,3.32,5,46,UP,320
93,610,221,WCC,XP,1080,2.53,6,47,DOWN,320
94,221,612,XP,XNJD,1800,2.5,6,48,DOWN,320
95,612,613,XNJD,XBQ,420,0.37,6,49,DOWN,320
96,613,614,XBQ,RMBL,360,0.3,6,50,DOWN,320
97,614,615,RMBL,QFL,420,0.5,6,51,DOWN,320
98,615,616,QFL,YSL,540,0.66,6,52,DOWN,320
99,616,617,YSL,NWM,300,0.26,6,53,DOWN,320
100,617,618,NWM,DG,540,0.68,6,54,DOWN,320
101,618,619,DG,LLC,300,0.31,6,55,DOWN,320
102,619,901,LLC,JRCD,660,0.86,6,56,DOWN,320
103,901,621,JRCD,XBC,2280,4.2,6,57,DOWN,320
104,621,560,XBC,HL,900,1.5,6,58,DOWN,320
105,560,623,HL,LJG,360,0.35,6,59,DOWN,320
106,221,610,XP,WCC,1080,2.53,6,47,UP,320
107,612,221,XNJD,XP,1800,2.5,6,48,UP,320
108,613,612,XBQ,XNJD,420,0.37,6,49,UP,320
109,614,613,RMBL,XBQ,360,0.3,6,50,UP,320
110,615,614,QFL,RMBL,420,0.5,6,51,UP,320
111,616,615,YSL,QFL,540,0.66,6,52,UP,320
112,617,616,NWM,YSL,300,0.26,6,53,UP,320
113,618,617,DG,NWM,540,0.68,6,54,UP,320
114,619,618,LLC,DG,300,0.31,6,55,UP,320
115,901,619,JRCD,LLC,660,0.86,6,56,UP,320
116,621,901,XBC,JRCD,2280,4.2,6,57,UP,320
117,560,621,HL,XBC,900,1.5,6,58,UP,320
118,623,560,LJG,HL,360,0.35,6,59,UP,320
119,727,437,CJD,HSD,153,0.41,7,60,UP,240
120,437,242,HSD,DK,179,0.51,7,61,UP,240
121,242,619,DK,LLC,375,1.1,7,62,UP,240
122,619,132,LLC,HCNZ,224,0.74,7,63,UP,240
123,132,546,HCNZ,SXS,120,0.41,7,64,UP,240
124,546,817,SXS,GPDD,110,0.36,7,65,UP,240
125,817,337,GPDD,TPY,106,0.34,7,66,UP,240
126,337,426,TPY,WHG,386,1.2,7,67,UP,240
127,426,229,WHG,YP,176,0.5,7,68,UP,240
128,229,612,YP,XNJD,250,0.69,7,69,UP,240
129,612,536,XNJD,BZXEL,147,0.36,7,70,UP,240
130,536,122,BZXEL,HCB,69,0.16,7,71,UP,240
131,122,325,HCB,SMQ,150,0.44,7,72,UP,240
132,325,726,SMQ,LGDX,353,1.04,7,73,UP,240
133,437,727,HSD,CJD,153,0.41,7,60,DOWN,240
134,242,437,DK,HSD,179,0.51,7,61,DOWN,240
135,619,242,LLC,DK,375,1.1,7,62,DOWN,240
136,132,619,HCNZ,LLC,224,0.74,7,63,DOWN,240
137,546,132,SXS,HCNZ,120,0.41,7,64,DOWN,240
138,817,546,GPDD,SXS,110,0.36,7,65,DOWN,240
139,337,817,TPY,GPDD,106,0.34,7,66,DOWN,240
140,426,337,WHG,TPY,386,1.2,7,67,DOWN,240
141,229,426,YP,WHG,176,0.5,7,68,DOWN,240
142,612,229,XNJD,YP,250,0.69,7,69,DOWN,240
143,536,612,BZXEL,XNJD,147,0.36,7,70,DOWN,240
144,122,536,HCB,BZXEL,69,0.16,7,71,DOWN,240
145,325,122,SMQ,HCB,150,0.44,7,72,DOWN,240
146,726,325,LGDX,SMQ,353,1.04,7,73,DOWN,240
147,810,726,SLD,LGDX,240,0.21,8,74,DOWN,240
148,726,812,LGDX,SQL,660,0.99,8,75,DOWN,240
149,812,813,SQL,DDL,360,0.37,8,76,DOWN,240
150,813,618,DDL,DG,420,0.51,8,77,DOWN,240
151,618,815,DG,NJQ,540,0.73,8,78,DOWN,240
152,815,816,NJQ,JXDD,540,0.7,8,79,DOWN,240
153,816,817,JXDD,GPDD,240,0.13,8,80,DOWN,240
154,817,818,GPDD,SY,660,0.95,8,81,DOWN,240
155,818,819,SY,LH,780,1.74,8,82,DOWN,240
156,726,810,LGDX,SLD,240,0.21,8,74,UP,240
157,812,726,SQL,LGDX,660,0.99,8,75,UP,240
158,813,812,DDL,SQL,360,0.37,8,76,UP,240
159,618,813,DG,DDL,420,0.51,8,77,UP,240
160,815,618,NJQ,DG,540,0.73,8,78,UP,240
161,816,815,JXDD,NJQ,540,0.7,8,79,UP,240
162,817,816,GPDD,JXDD,240,0.13,8,80,UP,240
163,818,817,SY,GPDD,660,0.95,8,81,UP,240
164,819,818,LH,SY,780,1.74,8,82,UP,240
165,901,135,JRCD,FHY,188,0.42,9,83,UP,320
166,135,550,FHY,JCDD,140,0.34,9,84,UP,320
167,550,818,JCDD,SY,360,0.55,9,85,UP,320
168,818,907,SY,HX,94,0.72,9,86,UP,320
169,907,340,HX,WQNL,241,0.73,9,87,UP,320
170,340,424,WQNL,CDXZ,502,1.56,9,88,UP,320
171,424,913,CDXZ,HTB,130,0.4,9,89,UP,320
172,135,901,FHY,JRCD,188,0.42,9,83,DOWN,320
173,550,135,JCDD,FHY,140,0.34,9,84,DOWN,320
174,818,550,SY,JCDD,360,0.55,9,85,DOWN,320
175,907,818,HX,SY,94,0.72,9,86,DOWN,320
176,340,907,WQNL,HX,241,0.73,9,87,DOWN,320
177,424,340,CDXZ,WQNL,502,1.56,9,88,DOWN,320
178,913,424,HTB,CDXZ,130,0.4,9,89,DOWN,320
179,337,907,TPY,HXZ,224,0.78,10,90,DOWN,240
180,907,348,HXZ,SLXZ,948,3.32,10,91,DOWN,240
181,348,1036,SLXZ,XP,1362,4.77,10,92,DOWN,240
182,907,337,HXZ,TPY,224,0.78,10,90,UP,240
183,348,907,SLXZ,HXZ,948,3.32,10,91,UP,240
184,1036,348,XP,SLXZ,1362,4.77,10,92,UP,240
